sample,mass1,mass2,spin1z,spin2z,delta_t,f_lower,sample_rate,padded,truncated
sample0,31.51774273339556,44.88164587277159,0.5564052875267679,0.14218780420155175,0.0001220703125,17.155689556782423,8192.0,False,True
sample1,47.06877065849262,35.2066332701435,-0.4136867724194673,0.5923660224562505,0.0001220703125,16.317576019927444,8192.0,False,True
sample10,62.552926096897906,36.50407972724575,0.47877782183334217,-0.9751785787619722,0.0001220703125,14.808827030125373,8192.0,False,True
sample100,37.73593327633029,54.0589401943872,0.8690035487688222,0.8878181574891167,0.0001220703125,15.302053595281746,8192.0,False,True
sample1000,30.787955485644567,55.96649304058768,-0.9566307385685006,-0.5305499111972989,0.0001220703125,16.18737821066355,8192.0,False,True
sample10000,6.161384093225303,17.291753511845467,0.822134070732209,-0.8564903497900496,0.0001220703125,39.035704615973735,8192.0,False,True
sample10001,51.91972666403603,74.38748865606955,-0.1696262615996892,0.7953265374646618,0.0001220703125,12.534941411485194,8192.0,False,True
sample10002,63.060559450976335,70.77337611797252,0.8563567013086809,-0.9925945080140798,0.0001220703125,11.959589691211484,8192.0,False,True
sample10003,57.590280059735875,37.02242028641479,0.9321853319170238,0.3640345623334159,0.0001220703125,15.107560063352164,8192.0,False,True
sample10004,7.117868616866829,42.770318456223094,0.658421313460284,0.934005391153171,0.0001220703125,28.9364963144707,8192.0,False,True
sample10005,34.87618123092513,44.469587025349895,0.4235619257669089,0.2936417910526933,0.0001220703125,16.6523051896776,8192.0,False,True
sample10006,30.89062578091061,21.357367228520758,0.3810377736223839,-0.8133211710123529,0.0001220703125,21.777057222226023,8192.0,False,True
sample10007,69.60405411920645,24.13388679047995,-0.3760163405423784,0.8179302223039934,0.0001220703125,16.501451498411605,8192.0,False,True
sample10008,36.85688146987923,7.961477631425781,0.42526915431058676,-0.9964980873148854,0.0001220703125,28.948148599229317,8192.0,False,True
sample10009,63.222748916264024,63.68417134803752,-0.12299332154280485,-0.44897570743104087,0.0001220703125,12.348159567195692,8192.0,False,True
sample1001,9.508595530668309,5.133336600026014,-0.9358570966623625,-0.6997708231876056,0.0001220703125,49.31876056157896,8192.0,False,True
sample10010,53.370564838604416,14.004417233874383,0.8745790747932839,-0.5876647142944174,0.0001220703125,21.452636127936703,8192.0,False,True
sample10011,7.472755045026725,63.04803073395641,0.5810383929945623,0.8238246804918773,0.0001220703125,25.651539770686107,8192.0,False,True
sample10012,34.452888004311454,51.752482367733876,0.1793161807261633,0.9242465213605601,0.0001220703125,15.968491156405445,8192.0,False,True
sample10013,50.44246448875151,26.465210972640502,-0.8650081511517931,-0.2910042816363836,0.0001220703125,17.54689340836663,8192.0,False,True
sample10014,23.164601212339683,24.565778414062056,-0.6736283974289592,-0.2930047299880867,0.0001220703125,22.759986520649445,8192.0,False,True
sample10015,12.988224142481004,15.786727503324107,0.7864635808545847,0.1257759590149884,0.0001220703125,31.32867419756754,8192.0,False,True
sample10016,39.10911252487368,49.69264585344815,0.07607806055995503,-0.41256133046396415,0.0001220703125,15.518323950842799,8192.0,False,True
sample10017,27.5339058006857,52.754633595377534,-0.18851975249998965,0.11897465489123837,0.0001220703125,17.091864097641267,8192.0,False,True
sample10018,51.47812664660144,62.85744562960908,-0.255028165318388,-0.7195363555942353,0.0001220703125,13.229281923202459,8192.0,False,True
sample10019,32.398569575459966,52.682903972101116,0.31932501748110653,0.48349216121434,0.0001220703125,16.20548174023926,8192.0,False,True
sample1002,58.24500788517241,12.809709693944834,-0.23209449200669674,0.3983455925544509,0.0001220703125,21.610049666592722,8192.0,False,True
sample10020,33.463949806436204,6.680324656535303,-0.5700316182688685,0.7380543536268948,0.0001220703125,31.618649176283125,8192.0,False,True
sample10021,61.86318946620029,8.075408499255033,0.41212318514638036,0.8039560260651725,0.0001220703125,25.06811689198629,8192.0,False,True
sample10022,46.65004349431295,50.695118830537574,-0.3010814076762607,-0.27857122349874397,0.0001220703125,14.583553899189623,8192.0,False,True
sample10023,14.66058570939127,32.217923921344365,0.9467302131867857,-0.9942568048556388,0.0001220703125,24.351980982592973,8192.0,False,True
