index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,91.51,14.36,-0.47,-0.70,0.61,0.87,0.27,0.25,990.74
1,104.30,43.35,0.34,-0.50,0.65,-0.19,-0.30,-0.30,741.39
2,125.03,49.79,-0.83,0.18,-0.80,0.34,-0.30,0.10,855.43
3,183.64,74.42,-0.37,0.86,0.70,0.31,-0.47,-0.30,332.27
4,172.73,58.58,0.30,-0.11,-0.62,0.39,0.27,-0.17,962.70
5,193.02,177.09,-0.88,0.97,-0.36,-0.01,0.08,0.15,861.00
6,125.98,70.01,0.16,-0.98,-0.79,0.65,0.98,-0.34,868.89
7,109.74,70.54,-0.86,0.77,0.53,0.09,-0.91,-0.35,916.65
8,198.21,82.55,-0.67,0.63,-0.55,0.27,-0.97,0.42,981.63
9,144.65,128.96,0.23,-0.86,-0.39,-0.51,0.93,-0.08,955.56
10,74.88,55.82,0.56,-0.16,0.15,-0.06,-0.67,0.38,793.81
11,176.07,38.46,0.39,0.87,-0.71,0.04,-0.66,-0.42,778.21
12,96.91,14.48,0.52,-0.88,0.11,0.52,0.72,0.85,863.76
13,120.49,10.91,-0.09,-0.84,0.06,-0.14,0.53,-0.23,667.43
14,89.76,45.64,0.14,-0.06,0.38,0.06,-0.13,0.82,823.76
15,137.54,68.28,-0.52,0.90,-0.46,-0.40,0.35,-0.89,725.70
16,188.28,36.54,0.80,-0.73,0.67,-0.42,0.75,-0.82,879.42
17,166.47,66.42,-0.71,-0.16,0.69,0.94,-0.92,0.61,817.17
18,181.23,163.93,-0.66,0.93,0.01,-0.66,0.14,0.83,907.50
19,59.10,44.78,-0.00,0.66,0.50,0.52,-0.36,-0.27,805.94
20,188.94,32.58,-0.64,-0.03,-0.21,0.56,-0.16,-0.43,886.67
21,149.48,66.37,0.79,-0.69,-0.54,-0.40,0.48,-0.57,668.31
22,73.13,43.88,0.96,-0.84,-0.79,-0.57,-0.20,0.78,960.84
23,140.17,56.55,0.10,0.28,-0.40,0.44,0.56,-0.19,678.31
24,106.71,91.54,-0.14,-0.86,0.16,-0.96,-0.11,0.10,760.90
