index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,189.17,109.48,0.35,-0.04,-0.96,-0.89,0.13,0.13,483.66
1,149.46,125.19,0.37,-0.58,0.23,0.12,0.89,0.16,919.57
2,174.12,156.18,0.53,-0.05,0.05,0.10,-0.46,0.51,964.51
3,120.50,114.12,0.60,-0.49,-0.97,0.62,-0.13,-0.01,668.82
4,184.66,143.33,-0.37,-0.73,-0.48,-0.58,-0.74,-0.21,525.79
5,199.53,150.43,-0.69,-0.80,-0.83,0.07,0.35,0.03,914.14
6,149.13,135.13,-0.45,0.93,0.52,-0.83,-0.57,0.39,394.29
7,151.55,146.60,0.14,-0.38,-0.85,-0.02,-0.24,-0.66,367.03
8,195.90,157.50,-0.34,0.88,0.79,0.81,-0.10,-0.91,556.46
9,181.42,107.26,-0.49,-0.99,0.84,-0.65,0.35,-0.52,960.88
10,157.89,121.35,0.19,-0.42,0.15,-0.11,0.28,-0.70,627.12
11,197.43,153.95,0.82,-0.46,0.79,0.98,-0.78,0.86,575.09
12,186.36,115.33,0.49,0.88,0.55,-0.94,-0.80,-0.29,673.33
13,127.22,102.13,0.45,-0.06,-0.73,-0.32,0.88,-0.74,413.45
14,161.80,126.09,-0.26,-0.88,0.70,-0.07,-0.49,0.87,312.81
15,176.99,163.18,-0.23,0.51,-0.50,0.36,0.64,-0.09,723.33
16,188.21,156.75,-0.70,-0.19,0.51,0.48,-0.73,-0.87,957.10
17,190.03,177.64,0.74,0.44,0.74,-0.05,0.54,0.12,629.00
18,161.82,124.68,-0.05,0.08,0.65,0.53,-0.66,0.27,985.59
19,146.49,119.73,-0.42,0.27,0.02,-0.56,0.20,-0.51,498.80
20,161.59,100.05,-0.21,0.84,-0.62,0.85,0.77,-0.07,944.62
21,143.97,140.20,-0.97,-0.13,0.10,0.68,0.31,-0.62,500.89
22,176.32,121.04,-0.27,0.94,-0.36,-0.81,0.37,-0.09,356.84
23,162.71,102.97,-0.75,0.39,0.71,0.26,0.93,-0.70,608.00
24,154.46,120.11,-0.92,-0.81,0.44,0.72,0.75,0.35,602.59
25,184.63,117.93,-0.87,-0.84,0.12,-0.34,0.34,0.04,530.23
26,192.90,145.74,-0.88,-0.58,0.80,0.65,-0.21,0.84,544.92
27,123.50,114.03,0.65,-0.92,-0.21,0.09,0.90,-0.79,866.94
28,195.34,106.47,0.21,-0.60,0.70,-0.97,-0.84,-0.74,782.45
29,191.37,181.97,0.74,0.83,-0.78,0.20,-0.35,-0.94,942.43
30,128.65,118.21,-0.26,-0.76,0.13,0.27,0.16,0.02,991.75
31,141.39,140.64,-0.88,-0.52,-0.68,0.14,-0.84,0.97,423.45
32,193.37,176.90,0.96,-0.69,0.41,0.01,0.16,0.17,957.38
33,198.95,117.83,0.57,0.48,0.91,-0.02,-0.68,-0.89,679.33
34,196.16,185.42,0.41,-0.90,0.65,0.98,0.51,-0.46,361.34
35,181.87,164.73,-0.51,0.47,0.62,-0.98,-0.23,-0.78,791.67
36,197.36,100.49,-0.50,0.70,-0.97,-0.12,0.91,0.04,792.09
37,121.20,118.94,0.49,0.18,0.19,-0.29,0.40,-0.81,992.66
38,138.94,120.14,0.93,0.91,-0.79,0.08,-0.58,-0.70,514.43
39,191.27,147.30,-0.60,-0.13,-0.76,0.09,-0.09,0.14,698.10
40,121.09,117.63,-0.40,0.60,-0.41,-0.26,-0.42,0.78,762.95
41,191.30,180.83,0.40,0.98,0.14,0.14,-0.90,0.11,943.56
42,196.25,179.11,-0.15,-0.97,-0.49,0.31,0.19,0.73,861.07
43,152.95,135.29,-0.94,-0.50,0.71,0.25,0.35,-0.60,722.76
44,173.86,101.90,0.57,-0.38,-0.12,0.22,-0.17,-0.50,716.54
45,186.94,148.66,-0.93,0.52,0.72,0.75,0.09,0.10,731.50
46,156.15,107.43,-0.84,0.87,-0.19,-0.73,-0.10,-0.20,267.03
47,171.96,155.50,-0.62,0.47,-0.28,-0.12,0.77,-0.99,939.92
48,140.73,116.07,0.58,0.07,0.65,0.03,0.70,-0.42,805.87
49,149.88,124.31,0.65,0.15,0.60,0.61,0.06,0.88,717.45
50,150.28,148.04,-0.47,-0.01,0.48,-0.25,-0.17,0.21,964.28
51,146.47,132.51,0.55,0.65,-0.76,0.52,0.25,0.68,772.25
52,124.28,112.88,-0.02,-0.97,0.58,-0.61,0.06,-0.80,168.82
53,184.12,170.85,-0.67,0.09,0.05,0.90,-0.76,-0.71,754.33
54,185.01,172.03,0.49,0.09,0.41,-0.34,0.00,0.37,472.54
55,168.56,130.58,-0.62,-0.40,-0.40,0.18,-0.13,0.88,992.65
56,196.35,180.31,-0.43,-0.29,-0.13,-0.58,-0.44,0.49,978.63
57,142.67,136.76,0.06,0.01,-0.36,-0.74,-0.01,-0.09,779.02
58,172.76,100.57,0.24,-0.07,-0.07,-0.71,-0.73,0.27,494.54
59,166.24,124.53,0.83,0.06,-0.76,0.32,0.87,-0.95,914.44
60,168.55,151.42,-0.47,-0.56,-0.23,0.16,0.06,-0.06,274.13
61,180.74,105.60,-0.90,-0.13,-0.30,0.89,0.73,0.15,949.62
62,160.05,143.04,-0.21,-0.04,0.51,-0.11,0.56,0.86,629.45
63,187.84,130.47,-0.41,0.67,-0.35,-0.77,-0.38,0.31,880.87
64,134.29,103.66,-0.87,-0.94,0.32,0.83,0.94,-0.10,296.66
65,170.10,157.70,0.48,0.60,-0.10,0.96,0.32,0.95,896.71
66,137.21,112.26,-0.53,0.45,-0.73,-0.71,-0.92,0.78,958.06
67,181.94,143.20,0.87,-0.52,-0.03,-0.56,0.91,0.18,828.77
68,132.69,105.59,0.16,-0.00,-0.57,0.68,-0.04,0.04,639.36
69,196.11,194.99,0.97,-0.03,0.49,0.08,0.28,0.25,488.79
70,123.22,113.33,0.97,0.96,-0.81,-0.31,0.35,-0.80,861.73
71,137.71,113.34,-0.19,-0.41,-0.70,0.67,0.99,-0.59,788.29
72,186.25,138.28,0.08,-0.88,-0.83,0.52,0.41,-0.97,963.16
73,192.98,126.28,0.61,0.30,-0.63,-0.24,0.74,0.81,661.11
74,153.26,149.65,-0.64,0.73,0.16,0.88,-0.79,0.09,788.24
75,170.88,151.17,-0.87,-0.71,0.31,-0.90,-0.95,0.02,791.63
76,151.01,111.63,-0.23,-0.74,-0.85,0.23,0.14,-0.12,921.76
77,136.14,103.82,0.44,-0.62,0.11,0.37,-0.19,0.76,892.82
78,170.65,154.19,-0.48,0.99,0.57,-0.65,0.44,-0.60,900.28
79,159.62,143.80,-0.58,0.07,-0.82,0.93,0.42,-0.52,917.76
80,165.63,121.99,0.77,-0.89,-0.58,-0.01,-0.69,0.21,799.38
81,181.25,148.40,-0.19,-0.84,-0.69,-0.05,-0.38,-0.01,956.02
82,198.29,107.94,-0.73,-0.01,0.29,-0.15,0.31,-0.58,958.26
83,185.78,134.92,-0.33,-0.78,0.27,0.64,-0.64,-0.61,999.69
84,187.02,130.13,0.69,0.71,0.98,-0.19,0.27,0.61,807.60
85,199.45,142.75,-0.54,-0.67,-0.08,0.36,-0.52,-0.66,900.08
86,186.41,182.58,-0.04,0.22,-0.63,0.81,0.34,-0.05,804.12
87,142.80,139.88,-0.47,0.84,-0.30,0.78,-0.21,0.59,515.41
88,169.68,147.49,0.78,0.76,-0.89,0.74,-0.85,0.64,978.72
89,191.84,173.66,-0.09,-0.06,0.65,-0.91,0.77,0.34,780.46
90,150.25,104.33,0.97,-0.41,-0.22,0.41,-0.35,0.57,750.76
91,164.81,129.71,0.53,0.07,-0.17,0.97,-0.20,-0.01,514.41
