index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,49.13,48.94,0.92,0.76,0.81,0.89,0.96,0.80,654.61
1,64.94,12.69,0.82,0.98,0.98,0.90,0.86,0.79,937.53
2,41.48,38.61,0.86,0.78,0.84,0.80,0.84,0.97,841.20
3,15.13,6.88,0.94,0.95,0.76,0.89,0.90,0.96,900.33
4,18.64,17.11,0.98,0.80,0.89,0.86,0.94,0.93,909.71
5,26.79,17.91,0.98,0.77,0.97,0.96,0.82,0.91,854.42
6,40.60,33.64,0.87,0.98,0.84,0.87,0.81,0.91,627.65
7,71.15,64.89,0.84,0.85,0.93,0.82,0.81,0.81,828.83
8,54.02,11.23,0.96,0.84,0.99,0.94,0.89,0.75,857.61
9,70.76,52.93,0.91,0.91,0.82,0.87,0.90,0.85,876.35
10,54.08,46.36,0.81,0.78,0.78,0.93,0.97,0.94,944.76
11,41.88,5.73,0.88,0.90,0.82,0.78,0.85,0.93,684.72
12,59.72,15.27,0.85,0.84,0.80,0.93,0.82,0.81,487.22
13,72.16,12.18,0.78,0.89,0.83,0.86,0.90,0.77,856.46
14,74.23,50.31,0.92,0.92,0.86,0.81,0.97,0.99,862.76
15,17.84,10.51,0.92,0.93,0.85,0.92,0.83,0.82,990.32
16,73.96,14.79,0.93,0.85,0.85,0.88,0.99,0.79,964.60
17,54.94,50.67,0.90,0.94,0.85,0.92,0.95,0.82,624.88
18,37.60,36.97,0.76,0.85,0.98,0.91,0.80,0.97,561.96
19,24.19,19.34,0.93,0.76,0.87,0.92,0.82,0.76,846.96
20,43.35,42.48,0.92,0.95,0.89,0.76,0.94,0.80,358.23
21,34.77,33.10,0.76,0.91,0.93,0.90,0.90,0.85,773.29
22,73.99,66.17,0.86,0.99,0.79,0.94,0.90,0.89,997.26
23,73.24,16.47,0.98,0.86,0.91,0.81,0.91,0.92,668.15
24,35.21,27.15,0.98,0.75,0.94,0.81,0.97,0.86,800.45
25,58.70,31.32,0.91,0.82,0.76,0.85,0.83,0.94,881.42
26,63.18,10.55,0.82,0.80,0.88,0.89,0.77,0.89,883.56
27,59.09,48.93,0.87,0.91,0.75,0.82,0.95,0.76,826.93
28,39.15,19.92,0.91,0.88,0.89,0.83,0.76,0.81,758.18
29,48.98,19.75,0.94,0.96,0.79,0.84,0.85,0.98,603.40
30,57.24,26.46,0.86,0.90,0.91,0.88,0.94,0.98,242.51
31,72.27,46.37,0.98,0.88,0.79,0.75,0.87,0.86,855.19
32,56.31,7.56,0.99,0.79,0.86,0.80,0.90,0.80,840.44
33,62.22,39.24,0.80,0.88,0.92,0.82,0.95,0.76,894.85
34,59.93,21.66,0.75,0.86,0.82,0.97,0.90,0.81,699.57
35,55.62,5.13,0.99,0.79,0.80,0.84,0.88,0.76,488.85
36,68.81,46.06,0.85,0.78,0.78,0.88,0.80,0.87,663.10
37,33.62,21.18,0.91,0.78,0.93,0.78,0.90,0.96,432.70
38,70.62,15.24,0.76,0.93,0.77,0.95,0.95,0.95,905.37
39,64.27,32.23,0.95,0.82,0.97,0.88,0.90,0.95,909.34
40,50.81,31.28,0.93,0.97,0.85,0.98,0.85,0.80,965.33
41,69.08,56.86,0.86,0.78,0.96,0.92,0.92,0.82,240.04
42,54.70,52.75,0.88,0.77,0.87,0.78,0.78,0.92,874.71
43,39.58,26.69,0.87,0.77,0.99,0.87,0.83,0.80,912.56
44,14.66,8.88,0.86,0.86,0.98,0.76,0.95,0.97,823.90
45,66.97,47.92,0.86,0.97,0.83,0.82,0.87,0.90,444.11
46,59.52,17.36,0.82,0.89,0.91,0.94,0.81,0.95,810.42
47,39.20,18.46,0.94,0.94,0.87,0.91,0.83,0.93,948.30
48,72.51,11.93,0.94,0.79,0.93,0.92,0.90,0.90,857.01
49,41.53,41.38,0.89,0.99,0.87,0.76,0.92,0.96,710.36
50,35.12,27.85,0.93,0.94,0.98,0.88,0.99,0.79,688.76
51,49.82,28.95,0.88,0.88,0.91,0.84,0.90,0.82,776.31
52,46.80,23.89,0.79,0.84,0.85,0.97,0.76,0.94,825.49
53,44.04,35.91,0.86,0.79,0.94,0.77,0.85,0.76,954.46
54,45.30,15.45,0.76,0.89,0.86,0.93,0.94,0.79,838.65
55,72.11,10.20,0.76,0.78,0.92,0.97,0.78,0.98,838.72
56,18.69,16.41,0.81,0.86,0.97,0.87,0.97,0.92,918.12
57,67.69,33.40,0.77,0.94,0.80,0.76,0.97,0.87,861.90
58,72.95,66.34,0.81,0.88,0.87,0.93,0.98,0.84,401.15
59,14.45,9.52,0.83,0.99,0.88,0.83,0.84,0.91,828.98
60,51.70,34.06,0.78,0.75,0.89,0.91,0.79,0.75,989.80
61,58.74,15.13,0.93,0.89,0.82,0.80,0.78,0.80,590.17
62,73.67,6.72,0.79,0.87,0.92,0.86,0.83,0.82,750.04
63,58.34,24.35,0.85,0.95,0.99,0.93,0.93,0.78,457.22
64,11.80,6.73,0.77,0.75,0.96,0.78,0.84,0.78,769.36
65,10.00,6.95,0.84,0.89,0.82,0.82,0.89,0.93,282.21
66,28.96,10.37,0.93,0.94,0.96,0.77,0.98,0.95,610.99
67,74.68,47.74,0.75,0.82,0.91,0.81,0.84,0.84,385.39
68,6.22,5.71,0.91,0.75,0.75,0.90,0.95,0.97,874.06
69,42.24,21.99,0.90,0.90,0.75,0.96,0.82,0.76,756.99
70,64.10,38.28,0.93,0.95,0.76,0.80,0.76,0.90,729.02
71,63.72,5.53,0.94,0.92,0.84,0.76,0.77,0.90,966.67
72,48.49,22.77,0.86,0.84,0.87,0.92,0.76,0.88,225.53
73,43.51,42.19,0.78,0.83,0.92,0.97,0.75,0.76,842.69
74,53.42,51.19,0.81,0.87,0.98,0.86,0.96,0.97,752.47
75,62.27,21.00,0.99,0.97,0.78,0.83,0.79,0.97,811.90
76,42.39,19.62,0.86,0.81,0.77,0.77,0.91,0.88,971.94
77,68.59,50.06,0.79,0.75,0.88,0.89,0.84,0.99,953.37
78,54.12,37.21,0.76,0.83,0.88,0.77,0.89,0.91,430.50
79,57.63,37.88,0.79,0.80,0.83,0.81,0.82,0.80,916.10
80,55.63,40.91,0.97,0.77,0.86,0.89,0.95,0.82,680.28
81,69.04,21.39,0.82,0.77,0.83,0.86,0.94,0.86,919.20
82,46.46,10.14,0.87,0.80,0.76,0.94,0.77,0.76,734.33
83,58.18,41.59,0.94,0.86,0.92,0.83,0.87,0.96,979.27
84,34.20,5.57,0.83,0.75,0.81,0.93,0.94,0.76,408.87
85,51.21,22.91,0.88,0.93,0.93,0.93,0.78,0.97,948.29
86,69.67,63.52,0.95,0.99,0.89,0.85,0.89,0.82,487.38
