index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,71.06,13.45,0.81,0.76,0.91,0.83,0.78,0.89,588.17
1,72.04,47.30,0.97,0.79,0.82,0.91,0.98,0.98,699.40
2,59.55,50.61,0.82,0.97,0.94,0.87,0.91,0.95,811.69
3,29.38,23.27,0.87,0.98,0.97,0.85,0.98,0.78,851.72
4,62.75,38.02,0.87,0.84,0.89,0.85,0.85,0.78,942.85
5,55.49,7.65,0.90,0.92,0.95,0.89,0.96,0.84,324.51
6,20.63,12.92,0.75,0.98,0.99,0.82,0.79,0.89,976.11
7,66.35,5.76,0.77,0.89,0.93,0.84,0.94,0.92,920.97
8,62.40,9.58,0.79,0.75,0.85,0.92,0.98,0.96,890.69
9,43.65,8.29,0.88,0.94,0.90,0.92,0.83,0.80,825.44
10,72.06,23.22,0.92,0.97,0.85,0.92,0.86,0.81,758.86
11,35.35,34.83,0.83,0.88,0.95,0.86,0.90,0.76,588.37
12,58.94,52.49,0.94,0.94,0.96,0.90,0.82,0.95,322.66
13,61.69,8.20,0.84,0.78,0.90,0.87,0.87,0.84,422.47
14,71.56,18.99,0.88,0.91,0.76,0.82,0.83,0.84,866.64
15,40.84,15.34,0.84,0.95,0.95,0.94,0.97,0.81,921.34
16,48.49,37.80,0.93,0.78,0.79,0.88,0.81,0.82,720.94
17,70.31,9.00,0.89,0.92,0.92,0.87,0.82,0.91,799.17
18,58.46,39.23,0.87,0.86,0.76,0.91,0.78,0.76,901.86
19,22.65,7.77,0.96,0.96,0.89,0.86,0.88,0.92,410.96
20,41.83,29.06,0.92,0.86,0.93,0.76,0.86,0.91,705.55
21,12.46,9.96,0.81,0.79,0.76,0.81,0.88,0.88,954.86
22,54.25,23.09,0.88,0.92,0.90,0.96,0.92,0.94,698.14
23,30.75,15.29,0.97,0.80,0.76,0.89,0.79,0.85,755.56
24,72.38,54.12,0.93,0.81,0.96,0.84,0.96,0.81,501.25
25,61.02,25.05,0.90,0.94,0.89,0.76,0.97,0.76,646.94
26,44.71,7.42,0.85,0.85,0.95,0.86,0.85,0.96,995.23
27,69.57,57.02,0.92,0.84,0.97,0.78,0.80,0.88,900.34
28,52.94,34.65,0.96,0.97,0.94,0.85,0.96,0.80,490.37
29,51.91,9.47,0.81,0.94,0.90,0.89,0.81,0.83,878.89
30,50.50,9.36,0.81,0.88,0.94,0.86,0.94,0.91,889.30
31,52.84,37.37,0.91,0.84,0.87,0.96,0.83,0.77,672.33
32,42.65,35.78,0.95,0.96,0.79,0.98,0.99,0.89,941.12
33,56.62,11.23,0.96,0.89,0.89,0.81,0.88,0.78,962.88
34,19.70,12.89,0.97,0.78,0.76,0.88,0.93,0.99,957.85
35,33.64,14.19,0.84,0.97,0.85,0.80,0.96,0.97,905.90
36,59.30,43.79,0.78,0.94,0.80,0.78,0.99,0.75,790.00
37,61.32,51.08,0.81,0.97,0.86,0.76,0.76,0.78,753.14
38,67.87,57.33,0.82,0.92,0.77,0.95,0.97,0.90,619.01
39,59.16,34.23,0.99,0.77,0.89,0.95,0.96,0.95,845.19
40,65.39,26.89,0.84,0.86,0.96,0.97,0.86,0.89,609.93
41,35.38,22.68,0.91,0.92,0.78,0.87,0.91,0.78,522.19
42,11.33,10.45,0.98,0.91,0.82,0.97,0.85,0.86,324.48
43,58.27,17.23,0.78,0.96,0.88,0.80,0.80,0.79,488.97
44,47.61,42.61,0.87,0.77,0.82,0.87,0.94,0.87,560.00
45,59.76,29.65,0.76,0.79,0.90,0.89,0.87,0.84,879.99
46,68.03,38.17,0.82,0.80,0.88,0.79,0.80,0.96,943.20
47,28.57,22.56,0.96,0.89,0.85,0.95,0.81,0.94,598.47
48,44.93,15.80,0.76,0.89,0.86,0.93,0.92,0.99,854.03
