index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,58.43,32.50,0.95,0.96,0.90,0.80,0.77,0.85,716.29
1,57.98,25.39,0.97,0.81,0.79,0.78,0.78,0.90,562.72
2,63.06,41.83,0.88,0.78,0.77,0.90,0.96,0.96,650.50
3,35.88,7.17,0.92,0.86,0.95,0.79,0.76,0.92,862.61
4,69.38,54.75,0.92,0.98,0.79,0.90,0.79,0.85,894.16
5,52.34,43.30,0.89,0.77,0.76,0.84,0.78,0.78,979.99
6,62.14,19.22,0.84,0.80,0.83,0.86,0.85,0.93,929.88
7,33.84,24.67,0.82,0.83,0.88,0.85,0.79,0.95,963.58
8,68.56,48.68,0.78,0.94,0.98,0.79,0.81,0.92,830.29
9,60.84,7.97,0.80,0.89,0.84,0.97,0.83,0.78,890.98
10,30.51,27.56,0.95,0.97,0.91,0.93,0.95,0.86,348.48
11,16.16,7.56,0.88,0.84,0.83,0.97,0.97,0.83,873.20
12,65.39,45.34,0.81,0.76,0.78,0.80,0.95,0.79,990.53
13,71.81,36.79,0.89,0.77,0.89,0.89,0.78,0.95,851.58
14,69.15,68.37,0.85,0.93,0.89,0.96,0.88,0.81,310.15
15,44.09,14.57,0.98,0.84,0.92,0.78,0.87,0.88,561.70
16,42.05,33.77,0.94,0.96,0.99,0.87,0.81,0.95,858.77
17,30.76,26.38,0.89,0.97,0.81,0.84,0.98,0.93,500.72
18,72.20,48.56,0.94,0.96,0.91,0.94,0.87,0.98,973.85
19,43.74,14.47,0.85,0.83,0.86,0.86,0.91,0.85,926.01
20,67.35,24.99,0.94,0.96,0.88,0.80,0.83,0.84,760.91
21,58.76,50.66,0.81,0.76,0.96,0.97,0.85,0.81,508.75
22,42.90,13.09,0.80,0.91,0.97,0.77,0.90,0.90,484.95
23,34.32,17.71,0.87,0.90,0.83,0.98,0.91,0.99,723.09
24,47.61,17.92,0.97,0.76,0.89,0.86,0.89,0.77,131.31
25,69.11,68.44,0.79,0.97,0.98,0.92,0.87,0.84,551.43
26,37.33,12.69,0.77,0.85,0.98,0.89,0.76,0.83,761.23
27,71.85,18.48,0.90,0.98,0.85,0.86,0.82,0.81,904.81
