index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,42.34,15.39,0.90,0.81,0.91,0.98,0.94,0.86,295.52
1,39.54,38.64,0.83,0.91,0.98,0.80,0.96,0.98,732.82
2,57.31,31.84,0.89,0.82,0.89,0.93,0.83,0.78,493.81
3,55.34,38.35,0.85,0.95,0.94,0.88,0.93,0.85,313.49
4,22.98,10.08,0.89,0.98,0.93,0.86,0.78,0.98,731.34
5,37.99,12.73,0.98,0.87,0.79,0.98,0.88,0.82,948.76
6,58.15,33.92,0.86,0.81,0.93,0.89,0.83,0.90,932.98
7,24.97,21.49,0.82,0.99,0.87,0.93,0.91,0.96,888.35
8,45.90,25.79,0.83,0.76,0.79,0.82,0.81,0.94,327.76
9,45.79,30.07,0.87,0.94,0.81,0.84,0.83,0.89,723.16
10,37.97,9.23,0.94,0.90,0.87,0.75,0.89,0.77,960.70
11,58.43,35.44,0.99,0.76,0.99,0.92,0.76,0.85,686.57
12,29.58,22.42,0.85,0.80,0.76,0.83,0.91,0.88,852.32
13,57.19,51.65,0.82,0.94,0.98,0.79,0.80,0.92,964.30
14,47.42,20.79,0.77,0.81,0.87,0.95,0.96,0.94,633.84
15,55.63,28.56,0.91,0.94,0.98,0.93,0.96,0.88,506.48
16,51.60,10.68,0.96,0.76,0.88,0.96,0.84,0.82,850.68
17,45.78,8.23,0.87,0.87,0.90,0.76,0.90,0.88,497.06
18,23.71,22.92,0.83,0.89,0.81,0.89,0.93,0.91,635.20
19,63.92,37.75,0.83,0.96,0.92,0.92,0.82,0.78,649.99
20,28.68,7.89,0.76,0.82,0.87,0.76,0.90,0.76,659.08
21,38.30,8.21,0.97,0.86,0.99,0.83,0.83,0.93,842.01
22,73.82,56.92,0.97,0.94,0.85,0.83,0.77,0.75,859.58
23,69.30,13.49,0.94,0.77,0.85,0.79,0.87,0.93,959.12
24,21.35,7.95,0.80,0.83,0.85,0.87,0.98,0.85,527.65
25,71.96,20.28,0.85,0.91,0.91,0.92,0.95,0.93,920.19
26,61.36,12.39,0.89,0.90,0.97,0.94,0.84,0.76,839.03
27,21.48,14.36,0.90,0.95,0.83,0.75,0.93,0.96,684.08
28,65.36,40.44,0.76,0.82,0.88,0.76,0.80,0.88,557.03
29,56.74,5.00,0.86,0.97,0.96,0.88,0.90,0.83,713.95
30,56.85,10.45,0.83,0.75,0.91,0.83,0.94,0.76,647.18
31,57.33,56.70,0.98,0.90,0.84,0.93,0.87,0.91,588.66
32,43.67,34.10,0.95,0.76,0.98,0.89,0.99,0.81,960.59
33,36.47,19.22,0.78,0.93,0.80,0.91,0.88,0.88,809.61
34,53.98,49.87,0.79,0.86,0.76,0.81,0.90,0.91,377.96
35,26.63,9.99,0.77,0.79,0.95,0.76,0.87,0.99,810.53
36,33.53,8.35,0.84,0.87,0.98,0.92,0.95,0.93,746.83
37,27.03,16.48,0.85,0.88,0.94,0.95,0.86,0.90,651.63
38,58.11,17.66,0.76,0.86,0.89,0.93,0.79,0.82,971.36
39,42.69,14.56,0.76,0.91,0.77,0.77,0.79,0.92,727.71
40,49.30,26.68,0.76,0.98,0.95,0.90,0.90,0.77,466.42
41,43.15,26.38,0.98,0.80,0.92,0.77,0.98,0.79,804.05
42,72.09,27.12,0.95,0.88,0.79,0.99,0.83,0.75,695.42
43,30.73,8.12,0.93,0.82,0.94,0.89,0.94,0.94,895.51
44,56.94,48.25,0.87,0.87,0.91,0.95,0.99,0.80,526.26
