index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,68.60,59.18,0.94,0.94,0.82,0.93,0.86,0.81,904.03
1,53.98,35.72,0.98,0.78,0.97,0.96,0.93,0.83,682.45
2,65.10,23.61,0.87,0.88,0.94,0.97,0.97,0.79,961.95
3,72.84,53.82,0.78,0.87,0.78,0.87,0.92,0.96,840.72
4,59.51,11.59,0.75,0.96,0.99,0.87,0.98,0.82,502.52
5,73.29,55.18,0.81,0.86,0.96,0.94,0.94,0.88,524.84
6,58.28,36.46,0.78,0.84,0.82,0.83,0.96,0.94,885.11
7,60.02,24.06,0.91,0.90,0.95,0.95,0.78,0.94,558.03
8,13.97,11.75,0.78,0.81,0.78,0.87,0.93,0.86,797.80
9,68.18,36.53,0.87,0.78,0.99,0.78,0.86,0.86,997.25
10,36.90,30.96,0.92,0.86,0.91,0.77,0.88,0.99,171.04
11,69.87,19.17,0.89,0.85,0.91,0.95,0.91,0.91,259.94
12,50.07,26.42,0.80,0.81,0.77,0.76,0.98,0.95,997.69
13,62.59,45.55,0.94,0.84,0.97,0.82,0.99,0.97,836.37
14,36.04,17.37,0.92,0.84,0.76,0.83,0.82,0.94,503.68
15,64.96,20.91,0.93,0.83,0.81,0.79,0.93,0.79,964.56
16,58.10,43.82,0.78,0.84,0.78,0.83,0.93,0.88,958.47
17,55.36,9.47,0.78,0.91,0.94,0.93,0.83,0.77,812.65
18,62.93,35.25,0.97,0.82,0.80,0.75,0.78,0.91,853.70
19,49.22,48.91,0.85,0.98,0.97,0.95,0.76,0.98,649.44
20,58.07,45.89,0.82,0.97,0.91,0.96,0.94,0.87,371.98
21,50.49,29.82,0.87,0.87,0.76,0.84,0.87,0.85,841.07
22,72.95,10.91,0.91,0.83,0.75,0.79,0.99,0.76,666.04
23,67.52,34.11,0.98,0.88,0.76,0.89,0.86,0.98,872.40
24,59.49,7.91,0.82,0.95,0.90,0.78,0.98,0.77,942.19
25,39.58,18.62,0.97,0.91,0.94,0.84,0.85,0.76,267.51
26,37.67,28.09,0.76,0.94,0.81,0.98,0.94,0.81,841.61
