index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,67.68,41.51,0.98,0.94,0.94,0.89,0.94,0.85,713.26
1,26.86,22.39,0.86,0.94,0.77,0.80,0.85,0.99,977.54
2,44.66,22.40,0.93,0.94,0.89,0.84,0.97,0.98,760.62
3,60.65,52.03,0.98,0.85,0.94,0.92,0.78,0.80,738.76
4,64.74,43.07,0.93,0.97,0.99,0.88,0.88,0.82,943.15
5,53.40,21.28,0.86,0.89,0.96,0.86,0.78,0.88,699.57
6,48.32,6.70,0.85,0.83,0.76,0.85,0.96,0.81,979.15
7,52.34,15.68,0.82,0.92,0.97,0.89,0.81,0.98,800.54
8,71.45,28.88,0.87,0.97,0.87,0.89,0.79,0.92,888.02
9,38.40,21.22,0.79,0.99,0.89,0.90,0.92,0.76,762.89
10,62.35,56.72,0.97,0.93,0.89,0.85,0.82,0.79,724.09
11,66.93,9.27,0.88,0.94,0.75,0.89,0.94,0.84,782.72
12,33.44,30.02,0.82,0.95,0.95,0.85,0.88,0.97,851.36
13,19.16,9.35,0.76,0.89,0.90,0.78,0.97,0.84,784.15
14,68.71,67.92,0.77,0.79,0.78,0.89,0.94,0.96,822.09
15,43.92,21.96,0.82,0.79,0.91,0.90,0.82,0.83,852.94
16,61.21,11.48,0.87,0.84,0.77,0.78,0.83,0.89,693.16
17,60.69,23.40,0.93,0.87,0.96,0.80,0.88,0.85,950.82
18,49.70,48.06,0.79,0.98,0.87,0.92,0.87,0.76,844.67
19,73.34,46.19,0.95,0.80,0.97,0.89,0.96,0.79,868.10
20,32.07,21.97,0.99,0.77,0.87,0.82,0.79,0.90,940.23
21,50.72,16.81,0.99,0.92,0.97,0.77,0.85,0.81,887.57
22,52.79,27.51,0.77,0.94,0.87,0.93,0.85,0.96,764.65
23,73.43,66.30,0.84,0.81,0.90,0.89,0.93,0.87,946.57
24,61.84,60.31,0.95,0.78,0.76,0.79,0.80,0.94,747.35
25,70.51,35.93,0.88,0.80,0.97,0.92,0.87,0.95,905.87
26,48.97,13.02,0.92,0.96,0.91,0.79,0.83,0.87,514.46
27,22.11,11.06,0.90,0.78,0.84,0.80,0.87,0.98,495.93
28,55.54,17.20,0.96,0.79,0.89,0.96,0.94,0.87,990.46
29,64.80,40.44,0.84,0.84,0.95,0.85,0.89,0.85,853.88
30,69.59,55.18,0.92,0.77,0.76,0.88,0.87,0.77,976.23
31,46.34,44.74,0.93,0.94,0.78,0.96,0.94,0.79,985.30
32,61.84,37.77,0.82,0.98,0.95,0.83,0.81,0.87,806.08
33,45.43,8.04,0.82,0.81,0.84,0.87,0.85,0.82,753.46
34,49.19,20.93,0.87,0.81,0.76,0.81,0.84,0.99,831.02
35,60.98,16.87,0.79,0.95,0.86,0.92,0.89,0.97,778.73
36,73.49,17.82,0.88,0.80,0.94,0.88,0.82,0.96,599.95
37,67.06,44.13,0.86,0.87,0.89,0.84,0.83,0.78,413.86
38,59.82,24.23,0.84,0.93,0.79,0.82,0.85,0.85,462.94
39,34.88,7.19,0.91,0.76,0.82,0.85,0.98,0.80,833.79
40,23.21,18.99,0.84,0.77,0.95,0.83,0.79,0.97,911.95
41,26.95,14.08,0.85,0.90,0.94,0.80,0.96,0.77,842.49
42,56.89,34.32,0.95,0.85,0.96,0.79,0.98,0.88,646.00
43,53.98,42.56,0.94,0.83,0.88,0.78,0.80,0.87,901.41
44,23.23,7.35,0.92,0.84,0.87,0.89,0.79,0.84,350.96
45,48.19,7.66,0.75,0.95,0.76,0.84,0.91,0.94,987.83
46,61.38,39.82,0.76,0.89,0.84,0.84,0.84,0.92,478.84
47,61.72,13.99,0.91,0.79,0.95,0.80,0.91,0.94,572.15
48,45.81,38.22,0.92,0.99,0.77,0.88,0.93,0.82,685.78
49,52.35,35.57,0.79,0.83,0.76,0.77,0.85,0.91,824.20
50,26.66,6.36,0.92,0.99,0.95,0.92,0.81,0.77,470.24
51,52.41,25.38,0.88,0.90,0.75,0.76,0.95,0.87,716.27
52,57.54,32.34,0.87,0.82,0.98,0.82,0.82,0.86,960.64
53,62.54,15.03,0.89,0.88,0.84,0.89,0.86,0.95,961.54
54,70.63,69.68,0.78,0.89,0.80,0.87,0.87,0.81,977.54
55,24.19,7.06,0.84,0.89,0.81,0.84,0.93,0.81,926.17
56,57.62,46.63,0.77,0.91,0.93,0.94,0.98,0.80,946.50
57,64.52,9.98,0.75,0.90,0.91,0.98,0.82,0.96,993.44
58,42.79,7.53,0.79,0.78,0.87,0.87,0.91,0.80,806.52
59,46.27,35.97,0.97,0.95,0.86,0.91,0.93,0.76,782.58
60,40.45,37.70,0.89,0.98,0.81,0.78,0.88,0.90,888.16
61,71.82,13.24,0.97,0.92,0.92,0.81,0.95,0.96,881.00
62,70.37,19.18,0.79,0.92,0.89,0.92,0.95,0.97,595.11
63,45.11,8.34,0.77,0.79,0.78,0.94,0.83,0.89,886.42
64,64.35,23.62,0.77,0.88,0.84,0.90,0.86,0.81,851.30
65,37.90,11.11,0.75,0.80,0.80,0.77,0.97,0.82,943.46
66,43.89,32.38,0.87,0.77,0.94,0.86,0.75,0.82,662.07
67,65.74,58.30,0.87,0.91,0.85,0.84,0.78,0.87,862.30
68,63.17,17.51,0.77,0.96,0.82,0.90,0.77,0.84,999.54
69,69.68,37.98,0.76,0.76,0.76,0.89,0.92,0.87,720.75
70,45.04,26.48,0.78,0.95,0.98,0.79,0.97,0.86,881.74
71,46.88,6.84,0.78,0.82,0.77,0.96,0.81,0.79,844.86
72,39.61,14.77,0.76,0.95,0.75,0.98,0.97,0.92,917.98
73,64.27,39.82,0.85,0.91,0.79,0.89,0.91,0.88,983.94
74,53.25,13.71,0.85,0.79,0.89,0.82,0.92,0.81,569.55
75,34.06,18.26,0.99,0.82,0.90,0.96,0.90,0.75,828.89
76,46.59,41.97,0.80,0.79,0.96,0.77,0.90,0.87,457.08
77,44.22,17.80,0.96,0.93,0.77,0.82,0.97,0.75,639.15
78,50.36,27.68,0.87,0.80,0.93,0.83,0.77,0.83,801.75
79,39.91,23.36,0.78,0.87,0.89,0.83,0.75,0.79,832.34
80,46.14,5.28,0.98,0.88,0.90,0.88,0.94,0.80,303.59
81,71.41,61.42,0.83,0.98,0.78,0.91,0.86,0.85,672.89
82,63.82,7.07,0.89,0.95,0.95,0.79,0.79,0.85,804.11
83,45.18,21.31,0.95,0.85,0.91,0.77,0.91,0.92,789.29
84,55.83,17.17,0.80,0.91,0.88,0.80,0.95,0.84,752.71
85,32.14,21.12,0.75,0.87,0.98,0.84,0.82,0.82,866.20
86,49.17,36.18,0.84,0.91,0.85,0.87,0.89,0.95,901.94
