index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,80.08,37.84,0.35,0.72,0.45,-0.84,-0.67,-0.96,888.08
1,74.81,56.28,-0.61,0.45,0.17,0.29,0.13,0.18,862.22
2,125.40,45.12,-0.01,-0.02,0.16,-0.75,-0.16,-0.28,456.07
3,183.12,93.90,0.05,-0.05,0.23,-0.22,0.05,-0.87,786.44
4,126.59,35.53,-0.65,0.69,0.16,-0.12,-0.34,0.82,693.88
5,168.84,55.38,-0.99,0.83,-0.14,0.68,0.07,0.92,640.37
6,175.76,128.56,0.78,-0.00,-0.05,0.40,0.31,0.01,818.26
7,173.54,141.64,-0.70,-0.29,0.38,-0.84,-0.00,0.53,221.51
8,132.66,58.83,0.01,-0.31,-0.30,-0.82,-0.25,-0.53,545.32
9,104.82,66.50,0.01,-0.64,-0.52,0.24,0.96,0.18,925.56
10,136.45,46.55,-0.97,-0.86,0.49,0.17,-0.91,-0.90,599.05
11,97.43,53.86,-0.50,-0.02,0.62,-0.85,-0.07,0.26,722.12
12,171.52,62.88,0.04,-0.24,-0.55,0.19,-0.14,0.13,432.07
13,175.91,147.63,0.64,-0.97,-0.23,-0.65,0.85,0.52,863.20
14,147.34,11.53,-0.58,0.69,0.57,-0.84,-0.91,-0.66,888.36
15,185.26,162.41,0.66,0.08,-0.41,0.45,0.40,-0.76,599.82
16,166.35,145.36,0.45,-0.44,0.90,-0.15,-0.91,0.44,848.06
17,42.28,39.79,-0.79,0.98,0.61,-0.86,0.06,-0.34,914.00
18,192.48,64.10,0.76,-0.87,0.69,0.12,-0.38,-0.49,877.45
19,165.51,40.00,-0.02,-0.87,-0.97,-0.55,0.31,-0.22,714.84
20,76.90,66.31,0.81,-0.26,-0.08,-0.01,-0.31,-0.65,641.81
21,174.05,13.94,0.77,0.39,-0.18,-0.12,0.43,0.25,425.04
22,198.32,59.83,-0.39,-0.45,0.41,-0.28,0.07,-0.49,789.21
23,174.87,163.33,-0.41,-0.37,0.18,-0.97,-0.70,-0.51,378.69
24,192.09,101.68,-0.24,0.33,0.25,-0.24,0.90,-0.43,743.62
25,176.12,121.88,-0.96,0.39,-0.65,-0.53,0.99,-0.91,984.41
26,118.26,83.64,-0.76,-0.26,-0.40,-0.90,0.84,-0.39,920.11
27,195.73,171.76,-0.83,0.18,-0.38,0.68,0.17,-0.98,789.08
28,192.25,131.92,0.24,-0.43,-0.34,0.48,-0.50,-0.84,682.62
29,68.50,15.25,-0.70,-0.17,0.83,-0.87,0.23,0.40,821.38
30,55.61,8.64,0.39,0.17,-0.58,0.83,-0.21,0.28,858.33
31,73.33,68.17,0.52,-0.20,-0.18,-0.52,0.27,-0.25,781.68
32,137.11,62.89,-0.31,-0.46,-0.13,-0.18,0.18,-0.89,883.46
33,142.59,115.34,0.97,-0.79,0.32,-0.81,0.39,0.76,848.56
34,123.86,16.65,0.21,-0.32,0.55,-0.20,-0.72,0.74,863.71
35,140.10,6.19,0.11,0.17,-0.85,-0.34,0.73,-0.92,621.91
36,134.99,34.40,-0.50,0.90,-0.50,0.30,0.34,-0.92,758.58
37,91.52,55.39,-0.66,-0.13,0.12,0.99,0.97,0.39,776.30
38,160.16,49.42,-0.23,-0.89,-0.79,0.29,-0.67,-0.10,494.28
