index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,167.82,60.39,-0.42,0.59,-0.88,-0.26,-0.45,-0.05,982.34
1,121.33,65.58,-0.01,-0.11,-0.84,0.76,-0.11,-0.96,448.36
2,61.33,16.66,0.38,-0.39,-0.05,-0.29,-0.26,-0.63,745.59
3,13.38,5.09,-0.10,0.45,0.18,-0.67,0.74,-0.33,859.26
4,194.86,71.60,-0.02,0.96,0.95,0.64,0.72,-0.16,709.10
5,121.31,57.79,-0.82,-0.29,-0.95,-0.06,-0.13,0.25,547.43
6,159.10,146.67,0.54,0.27,-0.37,0.44,-0.63,0.19,878.36
7,182.52,7.86,-0.11,-0.35,-0.53,0.51,0.22,0.71,843.47
8,178.86,139.19,0.10,0.02,-0.26,-0.70,0.42,-0.69,898.59
9,164.22,42.05,-0.59,-0.11,-0.71,0.44,-0.24,0.00,934.47
10,196.39,182.38,0.32,0.51,-0.75,-0.90,-0.52,0.14,649.84
11,154.66,60.52,-0.87,-0.50,-0.53,0.20,0.89,0.42,855.41
12,133.21,127.71,-0.64,0.07,-0.68,0.80,0.09,-0.53,977.26
13,153.94,118.30,0.37,-0.97,0.21,-0.57,-0.42,0.03,766.81
14,176.55,121.98,0.40,0.60,-0.10,0.31,-0.36,-0.68,923.66
15,171.50,109.37,0.02,-0.28,0.82,0.79,0.45,0.20,762.86
16,199.18,57.74,-0.54,-0.12,0.76,0.69,0.28,0.25,844.93
17,190.70,102.88,0.92,-0.46,0.50,-0.74,0.51,0.86,729.94
18,198.57,155.35,-0.83,-0.65,0.49,0.12,-0.45,0.30,872.90
19,140.27,101.36,-0.51,-0.54,-0.09,-0.73,-0.28,-0.74,897.45
20,199.55,124.56,0.57,-0.11,0.12,-0.32,-0.48,0.02,755.25
21,195.83,124.62,0.55,0.76,0.20,0.06,-0.13,0.38,972.16
22,138.74,81.75,0.18,0.32,0.86,0.67,0.33,0.39,791.80
23,181.74,67.78,0.05,-0.23,-0.48,0.86,0.28,0.89,579.00
24,173.13,65.32,-0.30,-0.70,0.20,-0.09,-0.42,-0.10,798.46
25,160.87,83.12,-0.67,0.39,0.91,-0.35,0.17,0.02,689.79
26,139.83,66.59,0.29,0.54,0.36,-0.51,0.64,0.47,982.77
27,145.78,84.66,-0.20,0.65,0.21,-0.69,0.60,-0.57,897.89
28,81.00,11.64,0.54,-0.73,-0.43,0.28,-0.56,0.06,646.29
29,83.70,30.67,-0.67,-0.77,-0.15,-0.68,-0.94,0.08,617.69
30,126.97,83.89,-0.18,0.19,0.02,0.13,-0.71,0.92,681.57
31,81.72,21.07,0.25,0.76,-0.76,-0.27,0.18,-0.27,831.29
32,115.86,58.54,-0.12,0.42,-0.36,-0.87,-0.90,-0.81,887.65
33,132.94,52.86,-0.93,0.94,-0.04,-0.48,-0.86,-0.60,939.94
34,178.91,7.86,0.08,0.91,0.31,-0.25,0.67,0.46,997.55
35,167.73,78.74,-0.81,0.56,0.90,-0.73,-0.23,-0.63,485.11
36,191.75,19.12,-0.96,-0.72,-0.95,-0.44,-0.10,-0.45,402.48
37,186.43,107.20,-0.56,-0.20,-0.10,0.06,-0.91,0.99,905.53
38,111.58,72.80,-0.63,0.38,-0.85,0.15,-0.63,0.00,442.09
39,76.91,49.31,0.46,0.50,0.30,-0.83,-0.89,-0.51,603.16
40,191.42,125.83,0.39,0.40,-0.67,-0.72,0.64,-0.32,969.19
41,82.40,71.49,0.58,0.74,-0.41,-0.04,-0.54,-0.89,826.43
42,103.42,26.02,0.58,0.73,0.09,-0.76,0.67,0.68,315.82
43,174.14,59.99,0.90,0.48,0.54,-0.09,0.05,-0.56,305.53
44,133.11,41.26,-0.10,-0.20,-0.19,0.59,0.62,-0.70,930.38
45,87.12,80.02,0.73,-0.65,-0.51,0.13,-0.50,0.36,801.91
46,178.61,23.77,0.28,-0.14,-0.42,-0.40,-0.26,0.15,932.12
