index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,50.11,7.17,0.17,0.43,-0.66,-0.40,-0.59,-0.55,932.60
1,112.88,96.41,-0.34,-0.16,-0.67,0.51,-0.89,-0.05,481.56
2,115.17,38.75,0.73,-0.05,0.30,-0.17,-0.93,-0.79,753.91
3,91.71,12.95,-0.97,-0.83,-0.82,0.39,-0.54,0.62,378.00
4,122.45,92.65,0.91,-0.06,0.67,-0.02,0.19,0.57,984.16
5,178.73,112.71,-0.83,0.96,-0.49,0.90,-0.47,-0.35,933.12
6,176.58,29.73,0.24,0.12,-0.50,0.59,0.68,-0.86,308.75
7,156.41,116.30,-0.58,-0.21,-0.37,-0.57,0.04,-0.78,585.86
8,199.35,72.64,-0.62,0.54,0.39,0.27,0.53,0.36,669.12
9,170.92,49.29,-0.32,-0.25,0.43,0.15,-0.89,-0.53,888.64
10,154.65,44.44,-0.17,0.87,0.29,0.77,0.75,0.01,726.92
11,112.29,29.69,0.45,-0.42,-0.33,-0.95,-0.25,-0.73,833.16
12,102.97,82.03,0.41,-0.36,0.65,0.55,0.06,0.96,794.47
13,125.20,90.91,0.39,-0.49,0.14,-0.09,-0.46,0.86,813.31
14,135.45,112.51,-0.08,-0.74,0.97,-0.82,-0.06,0.21,786.91
15,112.17,51.68,0.22,0.39,-0.72,0.30,0.82,0.13,847.70
16,187.15,115.00,0.66,-0.50,-0.66,0.09,-0.45,-0.31,915.45
17,173.32,162.31,0.89,-0.06,-0.57,0.52,0.66,0.19,674.43
18,168.33,130.26,-0.51,0.53,0.62,0.09,0.30,0.72,671.98
19,145.58,65.77,-0.36,-0.18,0.40,0.09,-0.37,-0.94,894.86
20,72.23,35.80,0.85,0.05,0.20,0.92,0.40,0.38,719.09
21,156.93,48.92,-0.20,-0.39,-0.72,-0.48,0.08,0.55,759.19
22,178.97,89.90,0.39,-0.20,-0.44,0.01,-0.39,-0.53,975.99
23,60.66,40.19,-0.17,-0.04,0.48,0.35,0.87,-0.65,385.78
24,157.34,86.93,-0.39,-0.41,-0.84,-0.15,-0.19,0.36,630.42
25,169.91,99.86,0.27,-0.24,-0.90,-0.02,0.45,0.98,513.01
26,159.44,139.18,-0.02,-0.25,-0.10,-0.25,-0.90,-0.11,740.11
27,135.74,11.18,0.64,0.01,-0.64,0.77,0.14,-0.05,959.81
28,150.37,80.81,0.83,-0.80,-0.05,-0.48,-0.71,-0.62,480.87
29,186.57,95.39,0.82,0.65,0.62,0.91,0.66,0.67,856.56
30,135.81,51.38,0.18,0.49,-0.25,0.32,0.39,-0.71,760.51
31,171.21,87.36,-0.15,-0.20,0.95,-0.79,-0.23,0.05,465.84
32,148.28,100.63,0.83,-0.41,0.67,-0.80,0.75,-0.50,930.68
33,192.82,159.10,-0.48,-0.93,0.10,-0.65,-0.61,0.57,757.08
34,99.03,30.93,-0.50,0.46,0.82,-0.38,-0.11,0.31,963.54
35,172.96,71.83,-0.37,0.20,-0.50,0.77,-0.11,0.61,558.09
36,150.88,45.71,-0.64,-0.86,-0.92,-0.01,0.71,0.46,539.30
37,26.74,17.85,0.93,-0.25,0.32,-0.25,0.24,0.23,954.22
38,152.62,107.62,-0.94,0.54,-0.31,-0.99,0.26,-0.14,982.72
39,159.21,137.87,0.01,0.16,-0.35,-0.53,-0.53,-0.12,942.35
40,192.19,55.49,-0.89,0.80,-0.75,0.46,0.26,-0.53,404.56
41,199.47,164.22,0.68,0.36,-0.93,-0.57,0.02,0.18,444.87
42,155.76,142.69,-0.07,-0.14,-0.17,0.24,0.11,-0.43,748.30
43,115.57,62.43,0.34,0.10,0.51,0.09,0.47,0.88,876.37
44,189.26,51.10,0.40,-0.32,-0.67,0.49,0.49,-0.54,814.27
