mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior
46.726810091844406,39.348083612222666,-0.2312579633591063,0.7828906830092547,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9237.300301119698,-7.8601850574721635
45.93301854527604,39.9625058043112,-0.26760678020583545,0.7944740153104128,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9238.728659602757,-7.8601850574721635
46.29301469231824,39.676723715797486,-0.24091259398308634,0.7762895972467051,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9239.002147946741,-7.8601850574721635
46.144801843743195,39.784403527968536,-0.2623288385516876,0.7949288256686141,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9239.192855982254,-7.8601850574721635
45.95687399451903,39.947993282378846,-0.26840129350353203,0.7959765391748489,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9239.313911565956,-7.8601850574721635
45.96792919240743,39.95005807027426,-0.268314583572572,0.796487023791167,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9239.740229676432,-7.8601850574721635
46.3300283351547,39.69832132933137,-0.23422842890492152,0.7727016975711568,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9239.758644408594,-7.8601850574721635
46.04970544733779,39.91465637262324,-0.2624503279376563,0.7952192561338334,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9240.214689303772,-7.8601850574721635
46.25366795331478,39.73894811479142,-0.24347695153107807,0.7791769623682376,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9240.420568281726,-7.8601850574721635
46.14713888624235,39.84005967267051,-0.256431888904009,0.791760418229815,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.073215728376,-7.8601850574721635
46.588082935725865,39.476156161847754,-0.23604150419025322,0.7844167425170632,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.288419305229,-7.8601850574721635
46.382367432375936,39.63135662645614,-0.24095181391840118,0.781028802561947,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.293842818612,-7.8601850574721635
46.71472154653352,39.383021719833,-0.23703475357172463,0.7911999058937773,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.314266048907,-7.8601850574721635
46.518056803208715,39.582128932518394,-0.23323352230261374,0.7807189842357207,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.360187681988,-7.8601850574721635
46.519581249090564,39.59275193673856,-0.23721816951852587,0.7863979368671872,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.430133101892,-7.8601850574721635
46.43375112323124,39.58520869483519,-0.24207244153629315,0.784400351053323,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.50765890313,-7.8601850574721635
46.25978564671734,39.719059846022994,-0.25478106947791157,0.7924509806724374,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.675812052106,-7.8601850574721635
46.50544969650649,39.545894774652965,-0.23735464584682736,0.7818701726099069,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.676395751101,-7.8601850574721635
46.43618507483971,39.58871172708575,-0.2446429654450796,0.7872200949220403,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.866625083221,-7.8601850574721635
46.452745335984694,39.558293604990084,-0.2551953015315519,0.7997391481764788,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9241.885294801512,-7.8601850574721635
46.35672937917069,39.639838866986594,-0.25200098157382417,0.7926365785593967,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,9242.049418401839,-7.8601850574721635
