index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,47.14,9.56,-0.47,-0.70,0.61,0.87,0.27,0.25,990.74
1,53.38,23.68,0.34,-0.50,0.65,-0.19,-0.30,-0.30,741.39
2,63.48,26.82,-0.83,0.18,-0.80,0.34,-0.30,0.10,855.43
3,92.03,38.82,-0.37,0.86,0.70,0.31,-0.47,-0.30,332.27
4,86.71,31.10,0.30,-0.11,-0.62,0.39,0.27,-0.17,962.70
5,96.60,88.84,-0.88,0.97,-0.36,-0.01,0.08,0.15,861.00
6,63.94,36.67,0.16,-0.98,-0.79,0.65,0.98,-0.34,868.89
7,56.03,36.93,-0.86,0.77,0.53,0.09,-0.91,-0.35,916.65
8,99.13,42.78,-0.67,0.63,-0.55,0.27,-0.97,0.42,981.63
9,73.03,65.39,0.23,-0.86,-0.39,-0.51,0.93,-0.08,955.56
10,39.04,29.76,0.56,-0.16,0.15,-0.06,-0.67,0.38,793.81
11,88.34,21.30,0.39,0.87,-0.71,0.04,-0.66,-0.42,778.21
12,49.78,9.62,0.52,-0.88,0.11,0.52,0.72,0.85,863.76
13,61.26,7.88,-0.09,-0.84,0.06,-0.14,0.53,-0.23,667.43
14,46.29,24.80,0.14,-0.06,0.38,0.06,-0.13,0.82,823.76
15,69.57,35.83,-0.52,0.90,-0.46,-0.40,0.35,-0.89,725.70
16,94.29,20.36,0.80,-0.73,0.67,-0.42,0.75,-0.82,879.42
17,83.67,34.92,-0.71,-0.16,0.69,0.94,-0.92,0.61,817.17
18,90.86,82.43,-0.66,0.93,0.01,-0.66,0.14,0.83,907.50
19,31.36,24.38,-0.00,0.66,0.50,0.52,-0.36,-0.27,805.94
20,94.61,18.43,-0.64,-0.03,-0.21,0.56,-0.16,-0.43,886.67
21,75.39,34.90,0.79,-0.69,-0.54,-0.40,0.48,-0.57,668.31
22,38.19,23.94,0.96,-0.84,-0.79,-0.57,-0.20,0.78,960.84
23,70.85,30.11,0.10,0.28,-0.40,0.44,0.56,-0.19,678.31
24,54.55,47.16,-0.14,-0.86,0.16,-0.96,-0.11,0.10,760.90
25,81.41,13.53,-0.72,-0.69,-0.11,0.94,-0.90,0.65,728.08
26,56.29,27.52,-0.74,0.21,-0.65,0.49,0.57,0.72,732.08
27,84.79,80.56,0.24,-0.49,0.10,0.53,0.46,0.10,830.10
28,97.60,48.88,0.40,-0.19,0.70,0.01,-0.88,0.39,904.92
29,94.93,24.20,-0.42,-0.95,-0.20,-0.96,0.35,0.91,192.09
30,63.86,32.45,-0.41,0.91,0.87,0.38,-0.89,0.96,614.76
31,16.63,15.30,0.42,-0.09,0.94,-0.83,0.12,-0.98,990.08
32,32.59,30.56,-0.11,0.30,-0.81,0.39,-0.36,0.68,930.57
33,89.08,11.45,0.98,-0.72,-0.81,0.61,0.12,-0.45,876.10
34,86.63,57.66,0.15,0.08,0.31,0.90,0.13,-0.65,790.27
35,97.99,77.78,0.30,0.60,-0.49,-0.37,-0.27,-0.80,536.63
36,90.41,19.64,-0.72,0.42,0.13,-0.96,-0.91,0.31,776.77
37,96.51,21.95,-0.91,0.90,0.11,0.73,-0.02,0.01,877.81
38,94.86,26.31,0.76,-0.34,-0.65,-0.19,0.81,0.35,972.64
39,69.44,54.06,0.00,-0.22,0.34,0.05,-0.89,0.11,652.05
40,30.29,9.00,-0.51,0.44,0.03,-0.65,0.67,-0.13,881.22
41,84.18,51.55,0.77,0.13,0.44,0.14,0.74,0.02,831.75
42,47.54,45.77,-0.18,-0.60,-0.66,-0.10,-0.50,-0.96,937.48
43,92.54,66.68,0.72,-0.92,0.71,0.53,-0.16,0.86,719.99
44,54.03,14.13,-0.16,-0.21,-0.72,0.40,-0.22,0.96,387.57
45,55.34,37.20,-0.60,0.20,-0.56,-0.04,-0.21,0.56,842.28
46,38.08,37.39,-0.16,0.48,0.63,-0.98,0.48,0.11,785.66
47,78.39,21.20,0.46,0.90,0.66,0.09,-0.78,-0.40,894.77
48,61.57,48.36,-0.51,0.65,-0.02,0.29,0.22,-0.32,955.96
