index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,90.07,54.55,0.89,0.56,0.54,0.14,0.56,-0.14,713.26
1,34.66,28.61,-0.05,0.58,-0.82,-0.60,-0.18,0.99,977.54
2,58.82,28.61,0.46,0.57,0.13,-0.28,0.86,0.94,760.62
3,80.53,68.83,0.90,-0.17,0.57,0.39,-0.71,-0.55,738.76
4,86.07,56.66,0.48,0.79,0.99,0.09,0.12,-0.39,943.15
5,70.69,27.09,-0.12,0.18,0.74,-0.09,-0.72,0.08,699.57
6,63.79,7.31,-0.20,-0.34,-0.94,-0.16,0.76,-0.50,979.15
7,69.25,19.50,-0.38,0.38,0.78,0.14,-0.51,0.92,800.54
8,95.18,37.41,-0.04,0.79,0.00,0.15,-0.68,0.40,888.02
9,50.33,27.01,-0.68,0.96,0.17,0.25,0.41,-0.89,762.89
10,82.84,75.19,0.78,0.50,0.15,-0.19,-0.39,-0.69,724.09
11,89.05,10.79,0.12,0.60,-0.95,0.19,0.57,-0.22,782.72
12,43.60,38.95,-0.39,0.63,0.67,-0.20,0.09,0.80,851.36
13,24.21,10.90,-0.93,0.14,0.28,-0.71,0.85,-0.21,784.15
14,91.47,90.39,-0.80,-0.66,-0.73,0.19,0.57,0.73,822.09
15,57.82,28.02,-0.45,-0.66,0.35,0.27,-0.41,-0.33,852.94
16,81.29,13.80,0.02,-0.28,-0.79,-0.74,-0.34,0.19,693.16
17,80.58,29.97,0.49,0.01,0.76,-0.61,0.05,-0.17,950.82
18,65.67,63.44,-0.65,0.91,-0.03,0.45,0.02,-0.87,844.67
19,97.75,60.91,0.66,-0.57,0.81,0.21,0.75,-0.70,868.10
20,41.74,28.03,0.97,-0.81,-0.04,-0.42,-0.67,0.29,940.23
21,67.05,21.02,0.99,0.41,0.83,-0.85,-0.15,-0.53,887.57
22,69.86,35.55,-0.85,0.56,-0.01,0.46,-0.20,0.75,764.65
23,97.87,88.19,-0.26,-0.53,0.26,0.19,0.49,0.02,946.57
24,82.14,80.06,0.69,-0.75,-0.90,-0.64,-0.56,0.54,747.35
25,93.90,46.98,0.06,-0.57,0.80,0.40,0.02,0.62,905.87
26,64.67,15.89,0.38,0.75,0.36,-0.66,-0.30,-0.00,514.46
27,28.22,13.23,0.21,-0.75,-0.29,-0.60,-0.03,0.92,495.93
28,73.59,21.55,0.74,-0.63,0.15,0.72,0.56,-0.01,990.46
29,86.16,53.09,-0.27,-0.23,0.67,-0.16,0.15,-0.16,853.88
30,92.65,73.10,0.45,-0.84,-0.89,0.05,0.04,-0.81,976.23
31,61.10,58.94,0.46,0.58,-0.72,0.73,0.60,-0.70,985.30
32,82.14,49.47,-0.37,0.91,0.66,-0.32,-0.51,-0.01,806.08
33,59.87,9.13,-0.45,-0.53,-0.27,-0.03,-0.19,-0.43,753.46
34,64.97,26.62,0.01,-0.51,-0.87,-0.49,-0.25,0.98,831.02
35,80.97,21.11,-0.70,0.64,-0.06,0.38,0.14,0.82,778.73
36,97.96,22.39,0.12,-0.60,0.61,0.09,-0.39,0.78,599.95
37,89.22,58.11,-0.09,0.01,0.16,-0.21,-0.30,-0.77,413.86
38,79.40,31.09,-0.26,0.52,-0.69,-0.40,-0.15,-0.14,462.94
39,45.56,7.97,0.33,-0.94,-0.40,-0.20,0.88,-0.56,833.79
40,29.72,23.98,-0.22,-0.83,0.65,-0.33,-0.68,0.80,911.95
41,34.79,17.33,-0.14,0.25,0.54,-0.58,0.71,-0.81,842.49
42,75.42,44.79,0.68,-0.14,0.73,-0.65,0.93,0.11,646.00
43,71.48,55.97,0.58,-0.30,0.05,-0.78,-0.58,0.01,901.41
44,29.74,8.19,0.40,-0.22,-0.04,0.16,-0.69,-0.28,350.96
45,63.62,8.61,-0.96,0.63,-0.94,-0.27,0.32,0.58,987.83
46,81.52,52.26,-0.90,0.19,-0.27,-0.28,-0.22,0.37,478.84
47,81.98,17.20,0.31,-0.64,0.70,-0.60,0.35,0.62,572.15
48,60.38,50.08,0.44,0.99,-0.86,0.05,0.49,-0.39,685.78
49,69.27,46.48,-0.69,-0.30,-0.95,-0.80,-0.19,0.32,824.20
50,34.40,6.85,0.43,0.99,0.68,0.45,-0.52,-0.82,470.24
51,69.34,32.66,0.08,0.24,-0.95,-0.94,0.68,-0.02,716.27
52,76.31,42.11,-0.04,-0.42,0.89,-0.37,-0.39,-0.12,960.64
53,83.08,18.62,0.14,0.04,-0.22,0.14,-0.08,0.69,961.54
54,94.07,92.77,-0.75,0.18,-0.54,0.03,0.02,-0.47,977.54
55,31.04,7.80,-0.25,0.16,-0.51,-0.23,0.51,-0.52,926.17
56,76.41,61.50,-0.85,0.36,0.48,0.61,0.92,-0.62,946.50
57,85.78,11.75,-0.99,0.23,0.35,0.94,-0.44,0.71,993.44
58,56.28,8.43,-0.69,-0.77,0.02,0.02,0.37,-0.55,806.52
59,61.01,47.03,0.82,0.69,-0.06,0.32,0.52,-0.93,782.58
60,53.10,49.38,0.14,0.88,-0.51,-0.73,0.07,0.25,888.16
61,95.69,16.19,0.85,0.41,0.37,-0.50,0.63,0.74,881.00
62,93.71,24.24,-0.67,0.42,0.17,0.42,0.69,0.81,595.11
63,59.44,9.54,-0.85,-0.70,-0.76,0.58,-0.33,0.20,886.42
64,85.54,30.27,-0.84,0.06,-0.27,0.22,-0.06,-0.54,851.30
65,49.65,13.30,-0.96,-0.55,-0.54,-0.81,0.85,-0.41,943.46
66,57.78,42.16,0.03,-0.78,0.59,-0.10,-0.98,-0.44,662.07
67,87.44,77.34,-0.00,0.34,-0.16,-0.25,-0.72,-0.00,862.30
68,83.95,21.97,-0.78,0.77,-0.40,0.23,-0.82,-0.29,999.54
69,92.78,49.76,-0.89,-0.93,-0.88,0.18,0.42,-0.03,720.75
70,59.34,34.15,-0.72,0.64,0.92,-0.64,0.84,-0.07,881.74
71,61.84,7.50,-0.77,-0.45,-0.79,0.76,-0.53,-0.62,844.86
72,51.98,18.26,-0.92,0.67,-0.95,0.88,0.81,0.41,917.98
73,85.44,52.25,-0.16,0.36,-0.67,0.19,0.36,0.10,983.94
74,70.48,16.82,-0.14,-0.65,0.16,-0.41,0.43,-0.51,569.55
75,44.44,23.00,0.98,-0.41,0.27,0.78,0.23,-0.95,828.89
