index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,199.43,104.01,0.36,-0.37,0.12,-0.52,0.01,-0.20,634.72
1,142.72,27.54,0.74,0.49,0.23,0.33,0.15,-0.51,900.29
2,180.06,123.34,0.04,0.04,0.93,-0.70,-0.60,0.89,977.68
3,170.15,162.29,0.40,-0.90,-0.73,-0.73,-0.69,-0.69,833.72
4,150.96,62.77,0.04,0.45,0.86,-0.45,-0.66,-0.76,937.43
5,127.38,87.34,0.63,-0.35,-0.70,0.61,0.65,0.61,643.07
6,152.71,32.34,-0.35,-0.19,-0.37,0.53,-0.26,0.70,634.23
7,194.02,164.48,-0.72,-0.77,0.60,-0.29,0.92,-0.76,816.85
8,69.04,31.55,0.51,-0.81,0.55,0.26,0.07,-0.66,809.05
9,181.28,110.43,-0.63,0.63,-0.50,-0.88,-0.90,-0.71,888.85
10,126.48,115.63,-0.66,0.44,0.63,0.42,-0.34,-0.29,736.99
11,78.05,34.29,0.53,0.68,-0.77,-0.12,0.91,0.73,592.98
12,139.19,62.83,0.95,0.99,0.16,0.18,0.38,0.84,614.12
13,92.82,86.07,0.21,-0.37,0.30,-0.95,0.35,-0.04,721.94
14,91.55,79.69,0.64,-0.51,0.38,0.86,-0.37,0.42,998.57
15,188.18,116.80,-0.01,0.10,-0.98,0.49,0.33,-0.74,938.27
16,167.47,36.00,0.58,0.96,-0.41,0.19,-0.20,-0.56,528.22
17,150.80,121.50,0.11,-0.43,0.45,0.09,-0.15,-0.71,409.44
18,108.89,11.52,0.69,0.50,0.15,0.11,-0.84,0.04,973.92
19,56.76,48.60,0.40,0.24,0.54,0.90,0.56,-0.28,529.40
20,179.85,43.92,-0.12,0.10,0.08,-0.26,-0.18,0.01,725.47
21,124.04,26.58,0.48,0.02,0.36,0.42,0.07,-0.98,779.42
22,185.50,74.47,-0.13,-0.70,-0.98,-0.36,-0.68,-0.19,487.87
23,93.68,87.81,0.08,-0.39,-0.31,-0.21,0.19,0.87,899.51
24,125.37,26.67,0.73,-0.16,-0.68,0.83,-0.93,0.37,957.01
25,115.37,98.41,0.84,0.21,-0.84,-0.01,0.71,-0.83,788.92
26,174.92,124.72,0.03,0.54,-0.58,-0.71,-0.40,-0.35,708.08
27,185.53,116.23,-0.36,0.07,-0.00,-0.12,-0.62,-0.74,915.96
28,47.48,31.32,0.73,-0.67,-0.61,0.63,0.35,0.07,934.78
29,164.02,121.57,0.58,0.70,0.28,0.56,0.20,-0.70,957.37
30,169.14,131.60,-0.34,-0.35,0.31,-0.35,0.59,0.12,882.70
31,94.04,5.84,0.68,0.14,0.82,-0.86,-0.02,0.90,929.55
32,199.34,96.27,-0.19,-0.17,0.82,-0.49,0.69,0.94,648.54
33,103.32,7.60,0.62,0.61,0.93,0.12,0.65,0.27,695.49
34,131.42,13.38,-0.19,-0.43,0.70,-0.35,-0.46,0.87,643.87
35,176.26,26.50,-0.81,-0.86,-0.67,-0.04,0.52,0.28,846.08
36,91.92,17.49,0.95,-0.18,0.12,-0.39,0.12,-0.61,838.53
37,121.87,63.59,-0.26,0.18,-0.72,-0.46,-0.50,-0.47,825.13
38,175.55,78.90,0.80,-0.89,0.94,-0.37,-0.61,-0.34,885.21
