index,m1_msun,m2_msun,chi1x,chi1y,chi1z,chi2x,chi2y,chi2z,dL_Mpc
0,109.03,33.94,0.28,-0.51,0.31,0.94,0.57,-0.05,295.52
1,101.21,98.72,-0.35,0.33,0.88,-0.61,0.73,0.92,732.82
2,150.72,79.76,0.14,-0.41,0.18,0.52,-0.36,-0.77,493.81
3,145.23,97.90,-0.14,0.69,0.55,0.10,0.47,-0.16,313.49
4,55.08,19.17,0.13,0.91,0.49,-0.10,-0.74,0.94,731.34
5,96.90,26.53,0.94,0.02,-0.63,0.95,0.07,-0.44,948.76
6,153.05,85.56,-0.12,-0.48,0.47,0.13,-0.29,0.21,932.98
7,60.64,50.94,-0.44,0.99,-0.02,0.48,0.32,0.78,888.35
8,118.92,62.91,-0.34,-0.92,-0.69,-0.45,-0.53,0.54,327.76
9,118.63,74.83,0.03,0.56,-0.46,-0.21,-0.35,0.17,723.16
10,96.84,16.78,0.58,0.24,-0.04,-0.98,0.17,-0.81,960.70
11,153.85,89.81,0.98,-0.95,0.96,0.40,-0.91,-0.15,686.57
12,73.46,53.53,-0.20,-0.59,-0.95,-0.35,0.31,0.08,852.32
13,150.39,134.95,-0.39,0.55,0.93,-0.64,-0.61,0.42,964.30
14,123.18,48.98,-0.83,-0.45,0.03,0.70,0.73,0.60,633.84
15,146.04,70.64,0.33,0.61,0.94,0.53,0.70,0.08,506.48
16,134.82,20.82,0.73,-0.94,0.06,0.70,-0.29,-0.39,850.68
17,118.61,14.00,0.02,0.01,0.28,-0.92,0.25,0.04,497.06
18,57.12,54.92,-0.36,0.18,-0.51,0.19,0.48,0.31,635.20
19,169.13,96.24,-0.36,0.76,0.39,0.42,-0.43,-0.73,649.99
20,70.98,13.04,-0.90,-0.39,0.04,-0.91,0.25,-0.89,659.08
21,97.77,13.93,0.83,-0.10,0.96,-0.36,-0.34,0.53,842.01
22,196.71,149.64,0.85,0.55,-0.15,-0.35,-0.83,-0.96,859.58
23,184.13,28.66,0.54,-0.84,-0.17,-0.70,-0.04,0.52,959.12
24,50.56,13.21,-0.62,-0.35,-0.14,0.02,0.88,-0.18,527.65
25,191.53,47.57,-0.16,0.36,0.31,0.42,0.68,0.46,920.19
26,162.01,25.58,0.14,0.28,0.80,0.57,-0.28,-0.89,839.03
27,50.90,31.08,0.21,0.65,-0.32,-0.99,0.46,0.77,684.08
28,173.14,103.72,-0.90,-0.41,0.05,-0.92,-0.59,0.10,557.03
29,149.15,5.01,-0.04,0.83,0.73,0.10,0.21,-0.36,713.95
30,149.44,20.18,-0.36,-0.96,0.29,-0.29,0.57,-0.92,647.18
31,150.77,149.03,0.92,0.24,-0.23,0.47,-0.01,0.36,588.66
32,112.73,86.06,0.70,-0.93,0.94,0.19,0.98,-0.53,960.59
33,92.67,44.62,-0.71,0.48,-0.55,0.32,0.07,0.12,809.61
34,141.45,130.01,-0.65,-0.11,-0.92,-0.53,0.22,0.31,377.96
35,65.26,18.90,-0.78,-0.70,0.69,-0.87,0.00,0.95,810.53
36,84.49,14.34,-0.23,-0.03,0.89,0.45,0.69,0.47,746.83
37,66.38,36.97,-0.19,0.07,0.58,0.70,-0.05,0.21,651.63
38,152.96,40.26,-0.89,-0.05,0.16,0.47,-0.62,-0.39,971.36
39,110.00,31.64,-0.92,0.37,-0.85,-0.82,-0.68,0.38,727.71
40,128.40,65.39,-0.91,0.89,0.68,0.25,0.22,-0.85,466.42
41,111.29,64.56,0.88,-0.60,0.45,-0.85,0.90,-0.67,804.05
42,191.90,66.61,0.67,0.05,-0.64,0.97,-0.31,-0.96,695.42
43,76.68,13.68,0.52,-0.38,0.56,0.19,0.57,0.60,895.51
44,149.70,125.47,-0.04,0.02,0.30,0.67,0.98,-0.61,526.26
45,119.10,72.07,0.03,0.77,0.44,0.47,-0.65,0.45,845.43
46,131.47,93.53,-0.54,0.89,0.86,0.41,-0.38,0.05,701.64
47,180.90,113.94,-0.30,0.21,-0.21,-0.01,-0.47,0.49,464.75
48,197.67,71.66,0.56,-0.83,0.74,0.69,-0.48,-0.23,875.94
49,116.76,107.11,-0.93,0.03,-0.15,0.50,0.84,-0.91,526.88
50,52.25,43.96,0.63,-0.91,0.05,-0.17,0.86,0.15,704.67
51,179.57,65.36,-0.04,0.04,-0.16,-0.57,-0.25,0.85,756.74
52,136.76,113.71,-0.23,0.70,0.81,-0.63,-0.06,0.96,885.01
53,180.82,87.19,-0.68,0.49,-0.83,-0.01,-0.22,0.38,904.87
54,114.08,84.29,-0.13,-0.97,0.28,-0.11,-0.96,0.35,577.61
55,132.23,31.78,0.80,-0.68,-0.94,0.42,-0.14,-0.21,758.07
56,144.85,34.72,0.97,-0.67,0.01,0.53,-0.48,0.05,639.80
57,174.90,111.00,0.54,0.23,-0.41,0.10,-0.50,-0.80,589.03
58,192.03,5.80,-0.90,0.57,-0.83,0.88,-0.99,0.05,591.53
59,33.51,5.97,0.91,0.88,-0.09,0.13,0.80,-0.24,734.28
60,61.26,28.64,-0.77,-0.22,-0.63,0.76,-0.37,0.66,323.91
61,65.04,58.99,-0.45,0.69,0.43,-0.89,0.96,-0.00,884.83
62,154.89,70.16,0.93,0.38,0.13,0.29,0.56,-0.94,738.36
63,157.18,107.41,0.30,0.41,0.90,0.07,0.85,0.12,873.00
64,153.98,144.47,0.89,-0.76,0.07,0.11,-0.05,-0.10,938.89
65,89.46,76.23,-0.13,0.37,0.05,0.89,0.18,-0.10,905.26
66,138.87,61.46,-0.01,0.91,0.70,0.64,-0.77,-0.47,478.52
67,131.77,130.57,-0.06,0.94,0.02,0.64,0.04,0.18,861.10
68,150.70,88.84,0.12,-0.15,-0.20,-0.00,-0.98,-0.82,925.63
69,158.24,52.33,-0.20,-0.74,-0.22,0.68,-0.88,-0.38,765.64
70,56.07,18.61,-0.36,-0.26,-0.88,0.35,0.59,-0.42,506.71
71,130.17,28.54,0.70,0.13,0.06,0.70,-0.86,-0.96,809.22
72,174.55,78.35,-0.80,-0.82,-0.68,-0.41,-0.24,-0.66,881.75
73,151.35,77.13,0.72,0.39,0.18,-0.04,0.14,0.95,922.40
74,160.33,132.31,-0.24,0.09,0.55,0.28,-0.78,0.06,689.61
75,163.44,130.47,-0.67,-0.92,0.65,-0.18,0.97,-0.94,672.75
76,70.71,32.08,0.39,0.84,-0.47,-0.77,-0.99,-0.90,794.30
77,165.81,60.96,0.13,-0.26,0.53,0.82,0.78,0.98,281.61
78,198.32,113.87,-0.36,-0.26,-0.01,-0.60,-0.90,0.44,984.56
79,194.75,19.77,0.56,0.35,-0.80,0.13,-0.10,0.78,474.07
80,151.15,96.54,-0.01,-0.62,0.42,-0.91,-0.44,0.85,629.88
81,188.32,35.05,0.91,-0.92,-0.14,-0.33,-0.70,-0.80,844.82
82,107.40,14.01,0.74,-0.75,-0.36,0.47,0.34,0.88,741.20
83,76.69,57.22,-0.53,-0.25,0.70,0.70,0.38,0.23,739.68
84,69.45,55.32,-0.75,0.15,0.27,0.58,0.65,0.28,968.35
85,122.63,95.63,-0.20,0.62,-0.25,0.53,-0.45,0.21,775.15
86,139.18,105.15,0.38,-0.57,-0.70,-0.81,0.86,-0.11,872.95
87,70.41,51.67,0.35,0.22,-0.18,-0.35,0.53,0.03,627.33
88,175.98,82.15,-0.16,-0.31,0.25,-0.94,0.57,-0.61,914.55
89,195.15,62.57,-0.15,0.20,-0.87,-0.08,0.04,0.35,860.77
90,195.64,124.24,-0.65,0.94,-0.63,-0.17,0.31,-0.56,456.12
91,193.90,134.69,0.74,0.96,0.32,-0.26,-0.23,-0.86,979.77
92,133.18,7.47,0.42,0.17,0.48,-0.88,-0.26,0.85,983.95
93,193.19,140.90,-0.51,-0.02,-0.49,-0.85,-0.69,-0.16,841.79
94,41.05,34.68,0.37,0.20,-0.92,-0.99,0.73,0.45,992.99
95,159.56,59.30,0.00,0.67,0.27,0.41,-0.27,0.47,776.12
96,188.61,78.02,-0.31,0.46,-0.80,-0.60,0.86,-0.30,455.03
97,145.23,44.00,-0.92,-0.43,0.58,0.53,-0.40,-0.48,972.36
98,177.20,115.70,0.66,-0.76,-0.52,-0.08,-0.48,0.31,899.02
99,167.20,54.85,-0.33,-0.16,-0.42,0.78,0.98,-0.26,736.18
100,109.14,40.84,0.41,0.87,0.31,0.40,0.86,0.64,906.93
101,143.45,69.94,0.80,-0.94,0.38,-0.72,-0.76,-0.87,727.51
102,70.68,30.26,-0.68,-0.79,-0.13,0.06,0.32,0.73,948.82
103,74.55,22.39,-0.67,-0.32,-0.56,-0.81,-0.63,0.53,920.40
104,127.40,66.08,-0.27,0.99,-0.50,0.36,0.51,-0.21,930.57
105,39.23,20.92,0.87,-0.70,-0.65,0.79,0.95,-0.41,848.83
106,148.23,128.97,-0.41,0.93,0.05,-0.64,-0.36,0.42,907.20
107,92.68,69.14,-0.30,-0.16,0.21,-0.76,0.83,-0.36,900.51
108,67.96,49.00,-0.15,0.87,-0.85,0.86,0.82,-0.23,769.47
109,61.64,41.59,0.81,0.57,-0.06,-0.77,0.37,0.02,915.73
110,122.35,113.30,0.43,-0.14,0.98,0.40,0.60,-0.76,428.19
111,195.12,111.54,0.39,-0.43,-0.54,-0.86,0.51,0.32,746.15
112,186.91,100.77,0.31,-0.10,-0.77,-0.23,-0.93,0.75,385.31
113,147.94,114.77,-0.63,0.33,-0.08,0.91,0.22,-0.66,246.38
114,159.87,13.41,0.10,-0.38,0.36,0.97,-0.41,0.10,925.84
115,107.50,98.70,0.44,0.35,-0.94,0.29,0.22,-0.20,971.72
116,176.73,106.23,-0.50,0.30,-0.30,-0.22,0.39,0.14,827.32
117,151.48,21.96,0.73,0.46,-0.72,0.96,0.60,0.01,946.90
118,89.70,28.14,-0.89,-0.35,-0.97,-0.90,0.78,0.83,564.53
119,187.55,185.53,-0.85,0.30,0.76,-0.62,0.80,0.87,569.29
120,143.93,59.94,0.63,-0.30,0.72,-0.07,0.19,0.68,788.72
121,109.20,50.33,-0.87,0.11,-0.68,0.93,-0.47,-0.91,901.43
122,134.03,15.04,-0.23,0.62,-0.39,0.11,-0.32,-0.59,500.25
123,108.09,74.73,-0.80,0.93,0.16,-0.91,0.86,0.93,728.21
124,141.97,134.48,-0.27,-0.51,-0.19,-0.71,-0.49,0.02,954.66
125,166.96,11.17,0.28,-0.62,0.14,0.39,-0.20,-0.18,921.14
126,169.92,118.06,-0.37,-0.61,-0.18,-0.55,-0.31,-0.30,860.18
127,114.37,13.16,-0.43,0.20,-0.83,0.36,0.68,0.60,538.34
128,166.90,145.61,-0.07,-0.01,0.13,0.27,-0.31,0.58,759.29
129,94.34,53.70,0.65,0.78,0.13,0.29,0.20,0.26,696.52
130,96.19,90.29,0.12,0.77,-0.27,-0.73,0.06,0.03,330.99
131,168.43,41.02,-0.31,-0.22,0.69,-0.16,-0.74,0.75,925.63
132,95.32,57.62,0.31,-0.54,-0.43,-0.29,-0.16,-0.58,816.14
